event_id,floor,artist_name,set_time_start,set_time_end
2923,Kantine am Berghain,DJ Taye,2019-09-11T20:50:00Z,2019-09-11T21:35:00Z
2923,Kantine am Berghain,Kenny Segal,2019-09-11T21:45:00Z,2019-09-11T22:30:00Z
2923,Kantine am Berghain,Armand Hammer,2019-09-11T22:30:00Z,2019-09-12T06:30:00Z
2928,Kantine am Berghain,Demon Head,2019-08-01T20:30:00Z,2019-08-01T21:00:00Z
2928,Kantine am Berghain,Coven,2019-08-01T21:15:00Z,2019-08-02T05:15:00Z
2929,Säule,LSDXOXO,2019-08-01T02:00:00Z,2019-08-01T04:00:00Z
2929,Säule,Wallis,2019-08-01T04:00:00Z,2019-08-01T12:00:00Z
2929,Säule,RUI HO,2019-08-01T22:00:00Z,2019-08-01T23:59:00Z
2929,Säule,KABLAM,2019-08-01T23:59:00Z,2019-08-01T02:00:00Z
2931,Garten,Gerd Janson,2019-08-03T12:00:00Z,2019-08-03T16:00:00Z
2931,Garten,Boris Dlugosch,2019-08-03T16:00:00Z,2019-08-03T20:00:00Z
2931,Panorama Bar,Alinka,2019-08-03T02:00:00Z,2019-08-03T10:00:00Z
2931,Panorama Bar,Mano Le Tough,2019-08-03T04:00:00Z,2019-08-03T08:00:00Z
2931,Panorama Bar,D. Tiffany,2019-08-03T08:00:00Z,2019-08-03T12:00:00Z
2931,Panorama Bar,DJ Nobu,2019-08-03T19:00:00Z,2019-08-03T22:00:00Z
2931,Panorama Bar,ItaloJohnson,2019-08-03T22:00:00Z,2019-08-03T02:00:00Z
2931,Panorama Bar,Nathan Micay,2019-08-03T23:59:00Z,2019-08-03T04:00:00Z
2931,Berghain,Freddy K,2019-08-03T01:00:00Z,2019-08-03T09:00:00Z
2931,Berghain,Orphx,2019-08-03T04:00:00Z,2019-08-03T05:30:00Z
2931,Berghain,Nihad Tule,2019-08-03T05:30:00Z,2019-08-03T09:00:00Z
2931,Berghain,Alex.Do,2019-08-03T09:00:00Z,2019-08-03T13:00:00Z
2931,Berghain,Rødhåd,2019-08-03T13:00:00Z,2019-08-03T17:00:00Z
2931,Berghain,Dr. Rubinstein,2019-08-03T17:00:00Z,2019-08-03T21:00:00Z
2931,Berghain,Ancient Methods,2019-08-03T21:00:00Z,2019-08-03T01:00:00Z
2931,Berghain,Reka,2019-08-03T23:59:00Z,2019-08-03T04:00:00Z
2932,Säule,Fadi Mohem,2019-08-08T02:00:00Z,2019-08-08T03:00:00Z
2932,Säule,Victor,2019-08-08T03:00:00Z,2019-08-08T11:00:00Z
2932,Säule,Attila,2019-08-08T22:00:00Z,2019-08-08T23:59:00Z
2932,Säule,Salome,2019-08-08T23:59:00Z,2019-08-08T02:00:00Z
2933,Panorama Bar,Atom™ & Tobias.,2019-08-09T03:00:00Z,2019-08-09T07:00:00Z
2933,Panorama Bar,Barker B2B Special Request,2019-08-09T07:00:00Z,2019-08-09T15:00:00Z
2933,Panorama Bar,MMM,2019-08-09T23:59:00Z,2019-08-09T03:00:00Z
2933,Berghain,Shed,2019-08-09T02:30:00Z,2019-08-09T03:30:00Z
2933,Berghain,Mark,2019-08-09T03:30:00Z,2019-08-09T05:30:00Z
2933,Berghain,Martyn,2019-08-09T05:30:00Z,2019-08-09T13:30:00Z
2933,Berghain,Afrodeutsche,2019-08-09T23:59:00Z,2019-08-09T02:30:00Z
2934,Halle,Ditterich von Euler-Donnersperg,2019-08-10T10:00:00Z,2019-08-10T12:00:00Z
2934,Halle,Rashad Becker,2019-08-10T12:00:00Z,2019-08-10T13:00:00Z
2934,Halle,Inland,2019-08-10T13:00:00Z,2019-08-10T17:00:00Z
2934,Halle,Phase Fatale,2019-08-10T17:00:00Z,2019-08-10T21:00:00Z
